335
  2     13.8551   -4.63279   0.415559   -0.0590259   0.00299605           
GeH         2   Ge H 1 1
  2     11.445   -3.72239   0.0265352   0.00249476   -0.000438888           
GeO         2   Ge O 1 1
  2     13.0225   -7.12752   -0.0256028   0.018369   -0.00199339           
GeS         2   Ge S 1 1
  2     13.0627   -6.56295   0.283567   -0.0530424   0.00384065           
H-         2   H el 1 1
  2     10.9409   -2.6836   0.497853   -0.0640899   0.0030753           
HI         2   H I 1 1
  2     12.1295   -3.59268   0.107641   -0.0130232   0.000613434           
KH         2   H K 1 1
  2     11.4166   -2.79688   0.287066   -0.0409643   0.00208967           
KOH         3   H K O 1 1 1
  2     24.7978   -9.74583   0.478033   -0.0676123   0.0034511           
LiH         2   H Li 1 1
  2     11.7824   -3.44331   0.327412   -0.0484559   0.00253356           
LiOH         3   H Li O 1 1 1
  2     25.1219   -10.6248   0.503575   -0.0721409   0.0037183           
MgH         2   H Mg 1 1
  2     11.2853   -2.05637   0.196585   -0.0273103   0.00138164           
MgOH         3   H Mg O 1 1 1
  2     24.5514   -9.38177   0.196657   -0.0271777   0.00138871           
MnH         2   H Mn 1 1
  2     11.7358   -3.79739   0.416093   -0.0605281   0.00312467           
NH         2   H N 1 1
  2     12.0327   -4.09349   0.136286   -0.0166427   0.000786913           
HNO         3   H N O 1 1 1
  2     25.2581   -9.55417   0.194622   -0.024812   0.00121294           
HNO2(trans)   3   H N O 1 1 2
  2     38.1722   -13.8136   0.138854   -0.0178827   0.000902095           
HNO3         3   H N O 1 1 3
  2     51.7869   -16.7438   0.0555429   -0.00665675   0.000359552           
HN3         2   H N 1 3
  2     37.9766   -14.707   0.314935   -0.0815814   0.00753253           
NaH         2   H Na 1 1
  2     11.4155   -2.59179   0.19646   -0.0273828   0.00138445           
NaOH        3   H Na O 1 1 1
  2     24.6038   -9.41042   0.364077   -0.0507323   0.00257989           
NiH         2   H Ni 1 1
  2     12.5203   -3.90007   0.196303   -0.0253774   0.00124117           
OH         2   H O 1 1
  2     12.371   -5.06783   0.138217   -0.0165474   0.000772245           
OH-         3   H O el 1 1 1
  2     23.6207   -8.82118   0.637986   -0.0808879   0.00385915           
HOSr         3   H O Sr 1 1 1
  2     24.8631   -11.1527   0.714206   -0.103064   0.00529834           
PH         2   H P 1 1
  2     12.0802   -4.14988   0.341137   -0.0487959   0.00250567           
HRb         2   H Rb 1 1
  2     10.6025   -1.75156   -0.0444764   0.00926409   -0.000547395           
HS         2   H S 1 1
  2     12.0194   -4.24225   0.149131   -0.0186662   0.000894376           
SiH         2   H Si 1 1
  2     11.8522   -3.72185   0.159988   -0.0206292   0.000998967           
HSr         2   H Sr 1 1
  2     11.8272   -3.63042   0.671893   -0.0989271   0.00512258           
ZrH         2   H Zr 1 1
  2     12.7508   -4.78898   0.419499   -0.0566536   0.00279418           
H2         1   H 2
  2     12.7388   -5.12717   0.12572   -0.0141494   0.000630214           
Mg(OH)2    3   H Mg O 2 1 2
  2     48.4091   -17.8102   0.146719   -0.0198329   0.00103121           
NH2         2   H N 2 1
  2     24.6027   -8.62996   0.200481   -0.0241237   0.00114842           
NH2-         3   H N el 2 1 1
  2     35.5383   -11.9959   0.693448   -0.0873492   0.00417317           
N2H2         2   H N 2 2
  2     37.8025   -12.9883   0.165072   -0.0200265   0.000984841           
H2O         2   H O 2 1
  2     25.4204   -10.5223   0.169394   -0.0183684   0.000817296           
H2O2Sr         3   H O Sr 2 2 1
  2     49.5631   -19.5352   0.562407   -0.0819921   0.00426841           
PH2         2   H P 2 1
  2     23.9575   -7.70024   0.256886   -0.0337999   0.00167158           
H2S         2   H S 2 1
  2     24.6324   -8.4616   0.170141   -0.0202365   0.000957819           
SiH2        2   H Si 2 1
  2     24.6639   -6.88731   0.0837099   -0.0100585   0.000492906           
NH3         2   H N 3 1
  2     37.5542   -13.0593   0.129104   -0.0123385   0.000534294           
PH3         2   H P 3 1
  2     38.3915   -13.2288   1.04219   -0.156464   0.00826584           
SiH3         2   H Si 3 1
  2     36.3292   -10.5562   0.0809447   -0.0086212   0.000398643           
N2H4         2   H N 4 2
  2     61.754   -18.426   0.00803459   0.0034436   -0.000200098           
SiH4         2   H Si 4 1
  2     49.1571   -13.7905   0.00114928   -0.00344694   0.00019563           
KO         2   K O 1 1
  2     11.9399   -4.07432   0.449009   -0.0657415   0.00339402           
LaN         2   La N 1 1
  2     13.5158   -6.8399   0.280962   -0.035399   0.00165512           
LaO         2   La O 1 1
  2     13.205   -8.82958   0.10891   -0.00924302   0.000278816           
LaO2         2   La O 1 2
  2     26.5495   -16.7553   0.151835   -0.0175905   0.000765416           
LaS         2   La S 1 1
  2     13.3274   -6.91479   0.259718   -0.0317835   0.00145125           
La2O         2   La O 2 1
  2     27.0224   -13.018   0.357959   -0.0420945   0.00185596           
La2O2         2   La O 2 2
  2     40.1074   -21.5514   0.289446   -0.0340778   0.00150347           
LiO         2   Li O 1 1
  2     12.3622   -4.54966   0.340687   -0.0500589   0.00260132           
MgO         2   Mg O 1 1
  2     11.7018   -4.48461   0.296408   -0.0428111   0.00220232           
