vacuum
lam[mu]  n       k  
      0.86696188      1.00000      0.00000
      0.87096359      1.00000      0.00000
      0.87498378      1.00000      0.00000
      0.87902252      1.00000      0.00000
      0.88307990      1.00000      0.00000
      0.88715601      1.00000      0.00000
      0.89125094      1.00000      0.00000
      0.89536477      1.00000      0.00000
      0.89949758      1.00000      0.00000
      0.90364947      1.00000      0.00000
      0.90782053      1.00000      0.00000
      0.91201084      1.00000      0.00000
      0.91622049      1.00000      0.00000
      0.92044957      1.00000      0.00000
      0.92469817      1.00000      0.00000
      0.92896639      1.00000      0.00000
      0.93325430      1.00000      0.00000
      0.93756201      1.00000      0.00000
      0.94188960      1.00000      0.00000
      0.94623716      1.00000      0.00000
      0.95060479      1.00000      0.00000
      0.95499259      1.00000      0.00000
      0.95940063      1.00000      0.00000
      0.96382902      1.00000      0.00000
      0.96827786      1.00000      0.00000
      0.97274722      1.00000      0.00000
      0.97723722      1.00000      0.00000
      0.98174794      1.00000      0.00000
      0.98627949      1.00000      0.00000
      0.99083194      1.00000      0.00000
      0.99540542      1.00000      0.00000
       1.0000000      1.00000      0.00000
       1.0046158      1.00000      0.00000
       1.0092529      1.00000      0.00000
       1.0139114      1.00000      0.00000
       1.0185914      1.00000      0.00000
       1.0232930      1.00000      0.00000
       1.0280163      1.00000      0.00000
       1.0327614      1.00000      0.00000
       1.0375284      1.00000      0.00000
       1.0423174      1.00000      0.00000
       1.0471285      1.00000      0.00000
       1.0519619      1.00000      0.00000
       1.0568175      1.00000      0.00000
       1.0616956      1.00000      0.00000
       1.0665961      1.00000      0.00000
       1.0715193      1.00000      0.00000
       1.0764652      1.00000      0.00000
       1.0814340      1.00000      0.00000
       1.0864256      1.00000      0.00000
       1.0914403      1.00000      0.00000
       1.0964782      1.00000      0.00000
       1.1015393      1.00000      0.00000
       1.1066238      1.00000      0.00000
       1.1117317      1.00000      0.00000
       1.1168632      1.00000      0.00000
       1.1220185      1.00000      0.00000
       1.1271975      1.00000      0.00000
       1.1324004      1.00000      0.00000
       1.1376273      1.00000      0.00000
       1.1428783      1.00000      0.00000
       1.1481536      1.00000      0.00000
       1.1534533      1.00000      0.00000
       1.1587774      1.00000      0.00000
       1.1641260      1.00000      0.00000
       1.1694994      1.00000      0.00000
       1.1748976      1.00000      0.00000
       1.1803206      1.00000      0.00000
       1.1857687      1.00000      0.00000
       1.1912420      1.00000      0.00000
       1.1967405      1.00000      0.00000
       1.2022644      1.00000      0.00000
       1.2078138      1.00000      0.00000
       1.2133889      1.00000      0.00000
       1.2189896      1.00000      0.00000
       1.2246162      1.00000      0.00000
       1.2302688      1.00000      0.00000
       1.2359474      1.00000      0.00000
       1.2416523      1.00000      0.00000
       1.2473835      1.00000      0.00000
       1.2531412      1.00000      0.00000
       1.2589254      1.00000      0.00000
       1.2647363      1.00000      0.00000
       1.2705741      1.00000      0.00000
       1.2764388      1.00000      0.00000
       1.2823306      1.00000      0.00000
       1.2882496      1.00000      0.00000
       1.2941958      1.00000      0.00000
       1.3001696      1.00000      0.00000
       1.3061709      1.00000      0.00000
       1.3121999      1.00000      0.00000
       1.3182567      1.00000      0.00000
       1.3243415      1.00000      0.00000
       1.3304544      1.00000      0.00000
       1.3365955      1.00000      0.00000
       1.3427650      1.00000      0.00000
       1.3489629      1.00000      0.00000
       1.3551894      1.00000      0.00000
       1.3614447      1.00000      0.00000
       1.3677288      1.00000      0.00000
       1.3740420      1.00000      0.00000
       1.3803843      1.00000      0.00000
       1.3867558      1.00000      0.00000
       1.3931568      1.00000      0.00000
       1.3995873      1.00000      0.00000
       1.4060475      1.00000      0.00000
       1.4125375      1.00000      0.00000
       1.4190575      1.00000      0.00000
       1.4256076      1.00000      0.00000
       1.4321879      1.00000      0.00000
       1.4387986      1.00000      0.00000
       1.4454398      1.00000      0.00000
       1.4521116      1.00000      0.00000
       1.4588143      1.00000      0.00000
       1.4655478      1.00000      0.00000
       1.4723125      1.00000      0.00000
       1.4791084      1.00000      0.00000
       1.4859356      1.00000      0.00000
       1.4927944      1.00000      0.00000
       1.4996848      1.00000      0.00000
       1.5066071      1.00000      0.00000
       1.5135612      1.00000      0.00000
       1.5205475      1.00000      0.00000
       1.5275661      1.00000      0.00000
       1.5346170      1.00000      0.00000
       1.5417005      1.00000      0.00000
       1.5488166      1.00000      0.00000
       1.5559656      1.00000      0.00000
       1.5631476      1.00000      0.00000
       1.5703628      1.00000      0.00000
       1.5776113      1.00000      0.00000
       1.5848932      1.00000      0.00000
       1.5922087      1.00000      0.00000
       1.5995580      1.00000      0.00000
       1.6069413      1.00000      0.00000
       1.6143586      1.00000      0.00000
       1.6218101      1.00000      0.00000
       1.6292960      1.00000      0.00000
       1.6368165      1.00000      0.00000
       1.6443717      1.00000      0.00000
       1.6519618      1.00000      0.00000
       1.6595869      1.00000      0.00000
       1.6672472      1.00000      0.00000
       1.6749429      1.00000      0.00000
       1.6826741      1.00000      0.00000
       1.6904409      1.00000      0.00000
       1.6982437      1.00000      0.00000
       1.7060824      1.00000      0.00000
       1.7139573      1.00000      0.00000
       1.7218686      1.00000      0.00000
       1.7298164      1.00000      0.00000
       1.7378008      1.00000      0.00000
       1.7458222      1.00000      0.00000
       1.7538805      1.00000      0.00000
       1.7619760      1.00000      0.00000
       1.7701090      1.00000      0.00000
       1.7782794      1.00000      0.00000
       1.7864876      1.00000      0.00000
       1.7947336      1.00000      0.00000
       1.8030177      1.00000      0.00000
       1.8113401      1.00000      0.00000
       1.8197009      1.00000      0.00000
       1.8281002      1.00000      0.00000
       1.8365383      1.00000      0.00000
       1.8450154      1.00000      0.00000
       1.8535316      1.00000      0.00000
       1.8620871      1.00000      0.00000
       1.8706821      1.00000      0.00000
